# #で始まる行はスキップされます
# 年,月,節入日,節入時(0-24),節入分(0-59)

1961,11,8,0,46
1961,12,7,17,26
1962,1,6,4,35
1962,2,4,16,18
1962,3,6,10,30
1962,4,5,15,34
1962,5,6,9,9
1962,6,6,13,31
1962,7,7,23,51
1962,8,8,9,34
1962,9,8,12,16
1962,10,9,3,38
1962,11,8,6,35
1962,12,7,23,17
1963,1,6,10,27
1963,2,4,22,8
1963,3,6,16,17
1963,4,5,21,19
1963,5,6,14,52
1963,6,6,19,14
1963,7,8,5,38
1963,8,8,15,26
1963,9,8,18,12
1963,10,9,9,36
1963,11,8,12,33
1963,12,8,5,13
1964,1,6,16,23
1964,2,5,4,5
1964,3,5,22,16
1964,4,5,3,18
1964,5,5,20,51
1964,6,6,1,12
1964,7,7,11,32
1964,8,7,21,16
1964,9,8,0,0
1964,10,8,15,22
1964,11,7,18,15
1964,12,7,10,53
1965,1,5,22,2
1965,2,4,9,46
1965,3,6,4,1
1965,4,5,9,7
1965,5,6,2,42
1965,6,6,7,2
1965,7,7,17,21
1965,8,8,3,5
1965,9,8,5,48
1965,10,8,21,11
1965,11,8,0,7
1965,12,7,16,46
1966,1,6,3,55
1966,2,4,15,38
1966,3,6,9,52
1966,4,5,14,57
1966,5,6,8,30
1966,6,6,12,50
1966,7,7,23,7
1966,8,8,8,49
1966,9,8,11,32
1966,10,9,2,57
1966,11,8,5,56
1966,12,7,22,38
1967,1,6,9,49
1967,2,4,21,31
1967,3,6,15,42
1967,4,5,20,45
1967,5,6,14,17
1967,6,6,18,36
1967,7,8,4,53
1967,8,8,14,35
1967,9,8,17,18
1967,10,9,8,41
1967,11,8,11,38
1967,12,8,4,18
1968,1,6,15,27
1968,2,5,3,8
1968,3,5,21,18
1968,4,5,2,21
1968,5,5,19,56
1968,6,6,0,19
1968,7,7,10,42
1968,8,7,20,27
1968,9,7,23,12
1968,10,8,14,35
1968,11,7,17,30
1968,12,7,10,9
1969,1,5,21,17
1969,2,4,8,59
1969,3,6,3,11
1969,4,5,8,15
1969,5,6,1,50
1969,6,6,6,11
1969,7,7,16,32
1969,8,8,2,14
1969,9,8,4,56
1969,10,8,20,17
1969,11,7,23,12
1969,12,7,15,52
1970,1,6,3,2
1970,2,4,14,46
1970,3,6,8,59
1970,4,5,14,2
1970,5,6,7,34
1970,6,6,11,52
1970,7,7,22,11
1970,8,8,7,54
1970,9,8,10,38
1970,10,9,2,2
1970,11,8,4,58
1970,12,7,21,38
1971,1,6,8,45
1971,2,4,20,26
1971,3,6,14,35
1971,4,5,19,36
1971,5,6,13,8
1971,6,6,17,29
1971,7,8,3,51
1971,8,8,13,40
1971,9,8,16,30
1971,10,9,7,59
1971,11,8,10,57
1971,12,8,3,36
1972,1,6,14,42
1972,2,5,2,20
1972,3,5,20,28
1972,4,5,1,29
1972,5,5,19,1
1972,6,5,23,22
1972,7,7,9,43
1972,8,7,19,29
1972,9,7,22,15
1972,10,8,13,42
1972,11,7,16,40
1972,12,7,9,19
1973,1,5,20,26
1973,2,4,8,4
1973,3,6,2,13
1973,4,5,7,14
1973,5,6,0,46
1973,6,6,5,7
1973,7,7,15,27
1973,8,8,1,13
1973,9,8,4,0
1973,10,8,19,28
1973,11,7,22,28
1973,12,7,15,11
1974,1,6,2,20
1974,2,4,14,0
1974,3,6,8,7
1974,4,5,13,5
1974,5,6,6,34
1974,6,6,10,52
1974,7,7,21,11
1974,8,8,6,57
1974,9,8,9,45
1974,10,9,1,15
1974,11,8,4,18
1974,12,7,21,5
1975,1,6,8,18
1975,2,4,19,59
1975,3,6,14,6
1975,4,5,19,2
1975,5,6,12,27
1975,6,6,16,42
1975,7,8,2,59
1975,8,8,12,45
1975,9,8,15,33
1975,10,9,7,2
1975,11,8,10,3
1975,12,8,2,47
1976,1,6,13,58
1976,2,5,1,40
1976,3,5,19,48
1976,4,5,0,47
1976,5,5,18,14
1976,6,5,22,31
1976,7,7,8,51
1976,8,7,18,39
1976,9,7,21,28
1976,10,8,12,58
1976,11,7,15,59
1976,12,7,8,41
1977,1,5,19,51
1977,2,4,7,34
1977,3,6,1,44
1977,4,5,6,46
1977,5,6,0,16
1977,6,6,4,32
1977,7,7,14,48
